Commodity,CommodityHead
105,Cloves
80,Cluster beans
315,Coca
368,Cock
104,Cocoa
138,Coconut
266,Coconut Oil
112,Coconut Seed
45,Coffee
318,Colacasia
129,Copra
43,Coriander(Leaves)
108,Corriander seed
472,Cossandra
15,Cotton
99,Cotton Seed
212,Cow
92,Cowpea (Lobia/Karamani)
89,Cowpea(Veg)
159,Cucumbar(Kheera)
42,Cummin Seed(Jeera)
486,Curry Leaf
352,Custard Apple (Sharifa)
382,Daila(Chandni)
91,Dal (Avare)
273,Dalda
410,Delha
69,Dhaincha
442,dhawai flowers
476,dianthus
492,Double Beans
495,Dragon fruit
423,dried mango
168,Drumstick
132,Dry Chillies
345,Dry Fodder
278,Dry Grapes
370,Duck
163,Duster Beans
367,Egg
361,Egypian Clover(Barseem)
296,Elephant Yam (Suran)
64,Field Pea
221,Fig(Anjura/Anjeer)
206,Firewood
366,Fish
510,Flax seeds
365,Flower Broom
121,Foxtail Millet(Navane)
298,French Beans (Frasbean)
350,Galgal(Lemon)
471,Gamphrena
25,Garlic
249,Ghee
452,Giloy
276,Gingelly Oil
27,Ginger(Dry)
103,Ginger(Green)
364,Gladiolus Bulb
363,Gladiolus Cut Flower
462,Glardia
219,Goat
353,Goat Hair
475,golden rod
511,Gond
494,Goose berry (Nellikkai)
359,Gram Raw(Chholia)
294,Gramflour
22,Grapes
165,Green Avare (W)
87,Green Chilli
346,Green Fodder
9,Green Gram (Moong)(Whole)
265,Green Gram Dal (Moong Dal)
50,Green Peas
267,Ground Nut Oil
268,Ground Nut Seed
10,Groundnut
314,Groundnut (Split)
312,Groundnut pods (raw)
75,Guar
413,Guar Seed(Cluster Beans Seed)
185,Guava
453,Gudmar
454,Guggal
461,gulli
74,Gur(Jaggery)
279,Gurellu
469,gypsophila
252,Haralekai
512,Harrah
216,He Buffalo
474,Heliconia species
369,Hen
125,Hippe Seed
236,Honey
124,Honge seed
119,Hybrid Cumbu
473,hydrangea
299,Indian Beans (Seam)
344,Indian Colza(Sarson)
465,Irish
256,Isabgul (Psyllium)
182,Jack Fruit
513,Jaee
406,Jaffri
151,Jaggery
175,Jamamkhan
184,Jamun(Narale Hannu)
376,Jarbara
229,Jasmine
250,Javi
5,Jowar(Sorghum)
16,Jute
210,Jute Seed
362,Kabuli Chana(Chickpeas-White)
317,Kacholam
230,Kakada
501,kakatan
456,Kalihari
457,Kalmegh
233,Kankambra
115,Karamani
439,karanja seeds
187,Karbuja(Musk Melon)
305,Kartali (Kantola)
481,Kevda
61,Kharif Mash
514,Khirni
372,Khoya
336,Kinnow
177,Knool Khol
117,Kodo Millet(Varagu)
458,kokum
459,Kooth
243,Kuchur
114,Kulthi(Horse Gram)
415,Kutki
426,kutki
155,Ladies Finger
515,Laha
96,Lak(Teora)
171,Leafy Vegetable
310,Lemon
63,Lentil (Masur)(Whole)
378,Lilly
180,Lime
470,Limonia (status)
67,Linseed
280,Lint
432,liquor turmeric
351,Litchi
302,Little gourd (Kundru)
304,Long Melon(Kakri)
403,Lotus
339,Lotus Sticks
337,Lukad
479,Lupine
504,Ma.Inji
107,Mace
427,macoy
411,Mahedi
335,Mahua
371,Mahua Seed(Hippe seed)
288,Maida Atta
4,Maize
20,Mango
172,Mango (Raw-Ripe)
422,mango powder
225,Maragensu
181,Marasebu
407,Marget
235,Marigold(Calcutta)
405,Marigold(loose)
502,Marikozhunthu
60,Mash
340,Mashrooms
259,Masur Dal
93,Mataki
47,Methi Seeds
46,Methi(Leaves)
237,Millets
360,Mint(Pudina)
258,Moath Dal
95,Moath Dal
77,Mousambi(Sweet Lime)
446,Muesli
428,Muleti
516,Muskmelon Seeds
12,Mustard
324,Mustard Oil
142,Myrobolan(Harad)
245,Nargasi
222,Nearle Hannu
126,Neem Seed
223,Nelli Kai
500,Nerium
445,nigella seeds
424,nigella seeds
98,Niger Seed (Ramtil)
106,Nutmeg
23,Onion
358,Onion Green
18,Orange
381,Orchid
420,Other green and fresh vegetables
97,Other Pulses
213,Ox
414,Paddy(Dhan)(Basmati)
2,Paddy(Dhan)(Common)
441,Palash flowers
72,Papaya
313,Papaya (Raw)
404,Patti Calcutta
331,Peach
330,Pear(Marasebu)
308,Peas cod
174,Peas Wet
347,Peas(Dry)
301,Pegeon Pea (Arhar Fali)
109,Pepper garbled
110,Pepper ungarbled
489,Perandai
327,Persimon(Japani Fal)
220,Pigs
21,Pineapple
431,pippali
329,Plum
303,Pointed gourd (Parval)
240,Polherb
190,Pomegranate
425,Poppy capsules
421,poppy seeds
24,Potato
84,Pumpkin
254,Pundi
128,Pundi Seed
447,Pupadia
161,Raddish
30,Ragi (Finger Millet)
409,Raibel
248,Rajgir
517,Rala
282,Ram
518,Ramphal
307,Rat Tail Radish (Mogari)
460,Ratanjot
65,Raya
519,Rayee
493,Red Cabbage
7,Red Gram
322,Resinwood
62,Riccbcan
3,Rice
160,Ridgeguard(Tori)
374,Rose(Local)
228,Rose(Loose))
373,Rose(Tata)
306,Round gourd
111,Rubber
291,Sabu Dan
59,Safflower
338,Saffron
271,Sajje
468,salvia
122,Same/Savi
433,sanay
450,Sandalwood
247,Sarasum
277,Season Leaves
253,Seegu
176,Seemebadnekai
201,Seetapal
11,"Sesamum(Sesame,Gingelly,Til)"
464,sevanti
217,She Buffalo
283,She Goat
218,Sheep
183,Siddota
490,Siru Kizhagu
226,Skin And Hide
156,Snakeguard
135,Soanf
207,Soapnut(Antawala/Retha)
520,Soha
286,Soji
246,Sompu
13,Soyabean
455,spikenard
342,Spinach
311,Sponge gourd
332,Squash(Chappal Kadoo)
440,stevia
430,stone pulverizer
48,Sugar
150,Sugarcane
488,Sundaikai
14,Sunflower
285,Sunflower Seed
139,Sunhemp
242,Suram
300,Surat Beans (Papadi)
255,Suva (Dill Seed)
178,Suvarna Gadde
152,Sweet Potato
173,Sweet Pumpkin
466,Sweet Sultan
477,sweet william
120,T.V. Cumbu
261,Tamarind Fruit
208,Tamarind Seed
100,Tapioca
76,Taramira
44,Tea
200,Tender Coconut
116,Thinai (Italian Millet)
170,Thogrikai
162,Thondekai
349,Tinda
141,Tobacco
78,Tomato
323,Torchwood
66,Toria
234,Tube Flower
401,Tube Rose(Double)
408,Tube Rose(Loose)
377,Tube Rose(Single)
503,Tulasi
463,tulip
39,Turmeric
309,Turmeric (raw)
341,Turnip
436,vadang
437,Vatsanabha
343,Walnut
496,Water Apple
521,Water chestnut
73,Water Melon
522,Wax
1,Wheat
287,Wheat Atta
429,White Muesli
412,White Peas
158,White Pumpkin
498,Wild lemon
203,Wood
499,Wood Apple
348,Wool
244,Yam
297,Yam (Ratalu)
